Country,Year,Food Types, Total Waste in Tons , Food Economic Loss (Million $) , Avg Waste per Capita (Kg) , Country Population (Million) (Not Accurate) , Household Waste (%) ,Cluster
Italy,2022,Meat & Seafood,27169.0,27439.0,158.0," 1,327 ",66.0,1
Canada,2018,Bakery Items,1365.0,1573.0,160.0, 509 ,68.0,0
UK,2018,Frozen Food,12027.0,10887.0,96.0," 1,061 ",30.0,0
Germany,2022,Frozen Food,23100.0,25033.0,162.0, 543 ,58.0,0
Italy,2023,Bakery Items,35870.0,36198.0,166.0, 538 ,38.0,1
South Africa,2020,Prepared Food,37938.0,31837.0,66.0, 270 ,48.0,1
Saudi Arabia,2020,Grains & Cereals,14500.0,15252.0,107.0, 65 ,55.0,0
Brazil,2023,Meat & Seafood,42648.0,45803.0,113.0, 913 ,32.0,1
Mexico,2019,Meat & Seafood,1423.0,1576.0,173.0, 590 ,34.0,0
South Africa,2023,Beverages,20008.0,18401.0,169.0, 85 ,52.0,0
Argentina,2023,Bakery Items,40239.0,44388.0,120.0, 289 ,58.0,1
Indonesia,2021,Frozen Food,21420.0,23268.0,31.0, 497 ,67.0,0
China,2019,Prepared Food,31663.0,31216.0,114.0," 1,307 ",58.0,1
Spain,2024,Prepared Food,17665.0,17839.0,94.0," 1,029 ",58.0,0
Canada,2021,Bakery Items,24276.0,23477.0,196.0," 1,066 ",62.0,0
Spain,2024,Beverages,41076.0,43800.0,104.0," 1,221 ",45.0,1
China,2021,Bakery Items,5980.0,5723.0,168.0, 350 ,43.0,0
Italy,2024,Dairy Products,1115.0,1284.0,91.0, 913 ,61.0,0
France,2018,Grains & Cereals,16867.0,18796.0,57.0," 1,157 ",68.0,0
Australia,2019,Fruits & Vegetables,26050.0,25970.0,150.0," 1,019 ",35.0,1
South Africa,2022,Beverages,28529.0,26200.0,64.0," 1,061 ",40.0,1
USA,2024,Beverages,28584.0,28501.0,172.0," 1,002 ",44.0,1
Russia,2018,Bakery Items,11193.0,10911.0,116.0," 1,001 ",68.0,0
Mexico,2022,Dairy Products,5170.0,6192.0,142.0, 911 ,36.0,0
Germany,2023,Prepared Food,18111.0,20385.0,154.0, 245 ,50.0,0
Spain,2022,Dairy Products,8500.0,8074.0,97.0," 1,353 ",41.0,0
South Africa,2022,Prepared Food,12719.0,12612.0,130.0, 525 ,51.0,0
Turkey,2019,Prepared Food,44554.0,43231.0,28.0, 48 ,65.0,1
South Africa,2024,Bakery Items,31998.0,25694.0,196.0, 310 ,31.0,1
Argentina,2024,Prepared Food,13075.0,14667.0,110.0, 550 ,63.0,0
China,2018,Bakery Items,24699.0,29321.0,35.0, 531 ,52.0,1
Saudi Arabia,2020,Frozen Food,30645.0,30122.0,197.0," 1,100 ",61.0,1
Saudi Arabia,2021,Frozen Food,23527.0,23210.0,87.0," 1,163 ",53.0,0
USA,2020,Grains & Cereals,16008.0,13463.0,22.0," 1,281 ",58.0,0
Saudi Arabia,2018,Meat & Seafood,38108.0,40154.0,27.0," 1,329 ",40.0,1
UK,2023,Prepared Food,21673.0,24876.0,98.0, 193 ,35.0,0
Brazil,2023,Meat & Seafood,41472.0,35978.0,152.0, 615 ,42.0,1
Spain,2022,Bakery Items,9297.0,8204.0,185.0, 63 ,66.0,0
Indonesia,2018,Grains & Cereals,10632.0,9499.0,142.0, 124 ,69.0,0
Mexico,2020,Grains & Cereals,32069.0,30062.0,166.0, 976 ,38.0,1
Argentina,2020,Beverages,49890.0,44811.0,133.0, 846 ,70.0,1
Saudi Arabia,2022,Beverages,15774.0,15802.0,176.0," 1,024 ",58.0,0
Turkey,2020,Meat & Seafood,22518.0,19262.0,62.0, 995 ,34.0,0
USA,2019,Fruits & Vegetables,41481.0,48149.0,194.0, 487 ,42.0,1
Italy,2019,Prepared Food,39733.0,45838.0,101.0, 901 ,49.0,1
Spain,2020,Prepared Food,31159.0,27947.0,54.0," 1,311 ",48.0,1
UK,2024,Meat & Seafood,17844.0,14301.0,77.0," 1,235 ",43.0,0
Indonesia,2021,Frozen Food,1693.0,1448.0,186.0, 709 ,69.0,0
Turkey,2020,Prepared Food,45438.0,48138.0,93.0, 863 ,37.0,1
Russia,2021,Frozen Food,39674.0,40251.0,79.0, 797 ,52.0,1
Japan,2018,Prepared Food,29800.0,26750.0,115.0," 1,135 ",60.0,1
India,2021,Grains & Cereals,21702.0,20171.0,156.0," 1,237 ",67.0,0
Argentina,2024,Fruits & Vegetables,37037.0,37621.0,27.0, 102 ,42.0,1
Indonesia,2023,Fruits & Vegetables,21279.0,22605.0,161.0, 362 ,34.0,0
UK,2022,Meat & Seafood,10858.0,11545.0,168.0," 1,339 ",61.0,0
Japan,2024,Beverages,35368.0,35899.0,48.0, 687 ,35.0,1
Italy,2019,Dairy Products,41606.0,41819.0,45.0, 462 ,44.0,1
South Korea,2020,Beverages,5791.0,6210.0,78.0, 668 ,47.0,0
Indonesia,2020,Meat & Seafood,1562.0,1351.0,131.0, 96 ,70.0,0
Saudi Arabia,2021,Bakery Items,10642.0,11210.0,172.0, 377 ,43.0,0
Russia,2018,Beverages,20985.0,17725.0,103.0, 725 ,49.0,0
UK,2023,Dairy Products,20877.0,22490.0,83.0, 787 ,30.0,0
Canada,2021,Meat & Seafood,37062.0,39743.0,157.0, 962 ,51.0,1
Argentina,2018,Beverages,40366.0,41840.0,189.0, 82 ,34.0,1
Japan,2023,Prepared Food,44053.0,44076.0,33.0," 1,389 ",61.0,1
Argentina,2019,Frozen Food,12417.0,14595.0,41.0, 926 ,37.0,0
Spain,2024,Meat & Seafood,18124.0,20935.0,45.0, 557 ,31.0,0
UK,2022,Meat & Seafood,11039.0,11672.0,118.0, 494 ,40.0,0
Turkey,2018,Grains & Cereals,41812.0,46816.0,54.0," 1,161 ",42.0,1
China,2019,Dairy Products,23452.0,25246.0,134.0, 474 ,36.0,0
France,2024,Frozen Food,33110.0,39032.0,164.0," 1,152 ",65.0,1
Argentina,2019,Beverages,20629.0,19286.0,142.0," 1,242 ",57.0,0
South Africa,2021,Meat & Seafood,14381.0,15474.0,113.0, 307 ,46.0,0
Germany,2020,Prepared Food,13443.0,12803.0,184.0, 770 ,70.0,0
Saudi Arabia,2018,Dairy Products,27894.0,33293.0,64.0, 208 ,41.0,1
Indonesia,2024,Fruits & Vegetables,38629.0,39024.0,79.0," 1,067 ",63.0,1
USA,2023,Bakery Items,39056.0,37706.0,156.0, 338 ,32.0,1
Brazil,2024,Grains & Cereals,27208.0,27250.0,152.0, 154 ,43.0,1
France,2022,Fruits & Vegetables,35777.0,41960.0,102.0, 690 ,65.0,1
USA,2019,Grains & Cereals,33613.0,39214.0,83.0, 913 ,61.0,1
Russia,2022,Bakery Items,25136.0,23880.0,163.0, 663 ,56.0,0
Spain,2023,Dairy Products,45066.0,43571.0,199.0, 376 ,65.0,1
Germany,2021,Prepared Food,13640.0,13477.0,137.0, 900 ,33.0,0
South Africa,2018,Dairy Products,2038.0,1639.0,122.0, 774 ,52.0,0
Argentina,2024,Beverages,23394.0,24355.0,109.0, 109 ,70.0,0
Russia,2020,Bakery Items,48587.0,50551.0,97.0, 952 ,48.0,1
Indonesia,2024,Frozen Food,15864.0,14756.0,94.0, 898 ,56.0,0
South Africa,2024,Grains & Cereals,44128.0,42983.0,51.0, 993 ,62.0,1
Italy,2021,Beverages,26269.0,30110.0,78.0, 621 ,34.0,1
Brazil,2023,Grains & Cereals,47792.0,47489.0,63.0, 722 ,34.0,1
Russia,2019,Grains & Cereals,14995.0,16037.0,93.0, 187 ,57.0,0
South Africa,2024,Bakery Items,15263.0,14993.0,190.0," 1,284 ",47.0,0
Russia,2024,Meat & Seafood,45746.0,52729.0,76.0, 312 ,50.0,1
UK,2020,Prepared Food,44256.0,43116.0,198.0, 48 ,56.0,1
Russia,2018,Frozen Food,46670.0,51765.0,21.0, 724 ,32.0,1
Brazil,2022,Frozen Food,4988.0,4934.0,145.0, 459 ,57.0,0
South Africa,2023,Bakery Items,24516.0,28892.0,151.0, 515 ,57.0,1
Mexico,2018,Grains & Cereals,25406.0,23067.0,85.0, 513 ,54.0,0
South Korea,2019,Dairy Products,36269.0,36585.0,106.0," 1,034 ",47.0,1
South Korea,2020,Frozen Food,28401.0,25629.0,149.0, 72 ,48.0,1
Mexico,2020,Meat & Seafood,39392.0,46155.0,117.0," 1,365 ",34.0,1
South Korea,2019,Dairy Products,46537.0,54095.0,71.0, 164 ,67.0,1
Turkey,2023,Dairy Products,9784.0,10088.0,44.0, 201 ,42.0,0
Australia,2020,Bakery Items,18268.0,19207.0,80.0, 119 ,31.0,0
India,2020,Grains & Cereals,29742.0,32809.0,129.0, 456 ,66.0,1
South Africa,2019,Grains & Cereals,44080.0,47663.0,191.0, 790 ,32.0,1
Australia,2024,Prepared Food,43313.0,36538.0,125.0, 275 ,45.0,1
Indonesia,2019,Fruits & Vegetables,49686.0,52016.0,60.0, 363 ,54.0,1
USA,2022,Beverages,507.0,489.0,149.0, 569 ,59.0,0
Russia,2019,Beverages,27203.0,22480.0,144.0," 1,249 ",39.0,0
Indonesia,2024,Grains & Cereals,20708.0,22687.0,166.0," 1,269 ",39.0,0
Argentina,2020,Grains & Cereals,3823.0,3899.0,75.0, 478 ,41.0,0
India,2022,Grains & Cereals,8700.0,8022.0,45.0, 760 ,68.0,0
Saudi Arabia,2023,Prepared Food,3605.0,4044.0,45.0, 485 ,46.0,0
Indonesia,2020,Fruits & Vegetables,20714.0,18867.0,33.0," 1,198 ",58.0,0
Germany,2018,Bakery Items,42064.0,49659.0,77.0, 736 ,42.0,1
Spain,2020,Bakery Items,32115.0,30833.0,110.0, 506 ,51.0,1
Brazil,2018,Frozen Food,11715.0,11969.0,177.0, 220 ,50.0,0
Spain,2019,Dairy Products,2135.0,1776.0,69.0, 330 ,49.0,0
France,2018,Prepared Food,19422.0,17445.0,111.0, 128 ,65.0,0
Brazil,2024,Prepared Food,29820.0,30840.0,94.0, 76 ,59.0,1
South Korea,2020,Dairy Products,8610.0,7648.0,94.0, 578 ,59.0,0
USA,2021,Bakery Items,30491.0,28714.0,76.0, 575 ,63.0,1
South Korea,2020,Bakery Items,15541.0,14219.0,190.0, 539 ,40.0,0
Turkey,2021,Bakery Items,41833.0,34210.0,185.0, 695 ,50.0,1
Spain,2023,Beverages,12867.0,11676.0,144.0," 1,363 ",30.0,0
Mexico,2019,Meat & Seafood,37195.0,43704.0,69.0, 775 ,48.0,1
Mexico,2019,Frozen Food,3993.0,3454.0,151.0, 158 ,44.0,0
Italy,2021,Dairy Products,31183.0,31161.0,183.0, 133 ,36.0,1
India,2024,Prepared Food,35856.0,42292.0,177.0, 989 ,46.0,1
South Korea,2020,Frozen Food,10405.0,9768.0,186.0, 349 ,67.0,0
Italy,2021,Dairy Products,7673.0,7664.0,33.0," 1,011 ",59.0,0
Indonesia,2023,Beverages,37381.0,43623.0,29.0, 607 ,51.0,1
Italy,2023,Dairy Products,28851.0,25077.0,73.0, 689 ,42.0,1
Spain,2020,Bakery Items,10321.0,10178.0,35.0, 902 ,50.0,0
Indonesia,2019,Grains & Cereals,7895.0,8079.0,23.0, 430 ,63.0,0
India,2024,Prepared Food,11614.0,9959.0,75.0," 1,291 ",56.0,0
USA,2018,Bakery Items,40284.0,33459.0,184.0, 572 ,32.0,1
China,2024,Prepared Food,12739.0,11551.0,133.0, 807 ,62.0,0
Turkey,2018,Beverages,24279.0,25035.0,188.0, 219 ,65.0,0
South Korea,2024,Bakery Items,24536.0,24892.0,147.0, 305 ,54.0,0
Canada,2021,Prepared Food,12390.0,10564.0,176.0, 349 ,57.0,0
Germany,2021,Beverages,18818.0,18033.0,181.0, 635 ,56.0,0
Australia,2020,Grains & Cereals,30320.0,32227.0,31.0, 676 ,41.0,1
USA,2020,Beverages,10418.0,11826.0,57.0, 627 ,41.0,0
Saudi Arabia,2021,Prepared Food,13521.0,14479.0,162.0, 887 ,53.0,0
Canada,2018,Beverages,2683.0,3086.0,62.0, 707 ,56.0,0
Mexico,2023,Grains & Cereals,47074.0,50848.0,129.0, 125 ,65.0,1
USA,2021,Frozen Food,1329.0,1078.0,76.0, 816 ,32.0,0
Italy,2021,Prepared Food,10144.0,10236.0,114.0," 1,040 ",50.0,0
Canada,2022,Frozen Food,26936.0,27192.0,94.0, 194 ,34.0,1
Spain,2023,Prepared Food,47691.0,42561.0,97.0, 476 ,40.0,1
Spain,2024,Beverages,11464.0,10969.0,41.0, 727 ,50.0,0
Australia,2021,Bakery Items,6608.0,6213.0,38.0, 311 ,54.0,0
Japan,2023,Dairy Products,47354.0,37996.0,103.0, 351 ,50.0,1
Brazil,2023,Prepared Food,49232.0,45744.0,43.0, 971 ,40.0,1
USA,2024,Prepared Food,28293.0,27917.0,137.0," 1,277 ",57.0,1
Australia,2018,Dairy Products,22603.0,20190.0,83.0," 1,323 ",68.0,0
UK,2021,Bakery Items,15394.0,14762.0,182.0, 243 ,70.0,0
Germany,2023,Beverages,29574.0,34770.0,137.0, 495 ,51.0,1
Germany,2023,Beverages,6356.0,6599.0,37.0, 821 ,31.0,0
India,2020,Beverages,17056.0,17885.0,149.0," 1,382 ",40.0,0
South Korea,2021,Beverages,40626.0,36993.0,40.0, 883 ,52.0,1
Saudi Arabia,2019,Beverages,3365.0,3183.0,100.0, 17 ,70.0,0
France,2022,Frozen Food,21760.0,20158.0,179.0, 268 ,69.0,0
Turkey,2019,Dairy Products,24930.0,26462.0,128.0, 95 ,44.0,1
Australia,2019,Meat & Seafood,19097.0,18273.0,129.0, 481 ,63.0,0
Germany,2024,Fruits & Vegetables,38729.0,35495.0,160.0, 161 ,63.0,1
Turkey,2018,Beverages,35650.0,30541.0,67.0, 654 ,35.0,1
Japan,2018,Bakery Items,47890.0,49580.0,146.0, 668 ,55.0,1
South Korea,2020,Bakery Items,8004.0,6500.0,75.0, 48 ,57.0,0
France,2018,Prepared Food,22065.0,20476.0,113.0, 243 ,40.0,0
Germany,2024,Frozen Food,3513.0,4053.0,134.0, 363 ,55.0,0
Canada,2023,Bakery Items,48403.0,54949.0,175.0, 160 ,36.0,1
Canada,2019,Grains & Cereals,18318.0,19745.0,74.0, 403 ,34.0,0
France,2024,Prepared Food,11809.0,9717.0,27.0, 930 ,47.0,0
Spain,2018,Prepared Food,6439.0,5394.0,27.0, 93 ,52.0,0
Spain,2024,Frozen Food,43175.0,44863.0,106.0," 1,045 ",67.0,1
Russia,2021,Dairy Products,48268.0,51265.0,36.0, 331 ,58.0,1
Canada,2024,Frozen Food,29213.0,32841.0,196.0, 720 ,62.0,1
Italy,2020,Frozen Food,8904.0,9528.0,48.0," 1,395 ",39.0,0
South Korea,2022,Beverages,23263.0,25825.0,76.0," 1,264 ",31.0,0
Russia,2023,Fruits & Vegetables,30114.0,35677.0,49.0, 610 ,49.0,1
China,2024,Bakery Items,45901.0,45832.0,86.0," 1,026 ",50.0,1
Spain,2019,Meat & Seafood,48620.0,50301.0,173.0, 516 ,31.0,1
Argentina,2020,Grains & Cereals,32828.0,34464.0,140.0, 438 ,69.0,1
Saudi Arabia,2023,Bakery Items,40841.0,38525.0,142.0," 1,369 ",42.0,1
Brazil,2023,Prepared Food,18777.0,20044.0,127.0, 745 ,41.0,0
Italy,2023,Meat & Seafood,26904.0,24909.0,35.0, 623 ,41.0,1
USA,2022,Dairy Products,25753.0,25942.0,72.0, 577 ,65.0,1
Indonesia,2019,Dairy Products,28000.0,26735.0,92.0, 593 ,34.0,1
China,2021,Prepared Food,12115.0,14282.0,191.0, 58 ,49.0,0
Argentina,2023,Prepared Food,12372.0,12416.0,138.0," 1,138 ",52.0,0
South Africa,2024,Prepared Food,17657.0,18438.0,76.0, 277 ,48.0,0
Germany,2019,Fruits & Vegetables,3537.0,3057.0,48.0, 114 ,66.0,0
Indonesia,2023,Fruits & Vegetables,18031.0,19215.0,85.0, 365 ,37.0,0
Spain,2023,Bakery Items,5791.0,5548.0,29.0," 1,215 ",45.0,0
Germany,2018,Fruits & Vegetables,13636.0,15668.0,37.0, 979 ,48.0,0
Argentina,2018,Grains & Cereals,49181.0,58226.0,87.0, 222 ,32.0,1
France,2023,Bakery Items,44498.0,46476.0,173.0, 247 ,57.0,1
South Korea,2024,Prepared Food,30054.0,34960.0,133.0," 1,194 ",58.0,1
Spain,2021,Bakery Items,11568.0,9672.0,97.0," 1,371 ",33.0,0
Japan,2020,Frozen Food,5266.0,5550.0,25.0," 1,303 ",35.0,0
Argentina,2019,Dairy Products,31877.0,35846.0,130.0, 887 ,53.0,1
USA,2024,Prepared Food,4538.0,4999.0,26.0, 933 ,62.0,0
Germany,2022,Dairy Products,6966.0,6131.0,174.0, 85 ,32.0,0
Turkey,2019,Fruits & Vegetables,27309.0,30170.0,146.0," 1,217 ",63.0,1
Italy,2022,Beverages,13803.0,12865.0,185.0, 957 ,66.0,0
Indonesia,2022,Fruits & Vegetables,2429.0,2418.0,52.0, 71 ,62.0,0
France,2021,Beverages,2584.0,2195.0,44.0," 1,143 ",62.0,0
UK,2020,Fruits & Vegetables,17092.0,14509.0,109.0, 835 ,58.0,0
Indonesia,2024,Frozen Food,27989.0,32507.0,61.0, 543 ,57.0,1
Turkey,2018,Dairy Products,28969.0,23933.0,164.0, 855 ,47.0,1
Argentina,2024,Bakery Items,46937.0,47408.0,87.0," 1,057 ",35.0,1
China,2021,Grains & Cereals,3243.0,3746.0,160.0, 966 ,40.0,0
USA,2022,Fruits & Vegetables,46965.0,54387.0,173.0, 948 ,44.0,1
Spain,2024,Fruits & Vegetables,2283.0,2655.0,117.0, 345 ,49.0,0
South Korea,2021,Meat & Seafood,11089.0,11899.0,194.0, 68 ,69.0,0
Japan,2024,Grains & Cereals,1899.0,2059.0,50.0, 955 ,55.0,0
Canada,2020,Meat & Seafood,46552.0,47859.0,53.0," 1,218 ",42.0,1
Japan,2024,Meat & Seafood,37391.0,39783.0,133.0, 732 ,43.0,1
Brazil,2022,Bakery Items,7366.0,6829.0,58.0," 1,385 ",46.0,0
Russia,2019,Fruits & Vegetables,23779.0,21407.0,47.0, 920 ,43.0,0
Germany,2020,Beverages,10337.0,9684.0,113.0, 207 ,68.0,0
Brazil,2021,Grains & Cereals,41640.0,43341.0,191.0, 345 ,66.0,1
Russia,2019,Prepared Food,21969.0,22440.0,27.0, 907 ,56.0,0
Indonesia,2018,Bakery Items,26762.0,31233.0,119.0, 850 ,59.0,1
Saudi Arabia,2019,Beverages,43125.0,42469.0,137.0, 305 ,32.0,1
Turkey,2022,Fruits & Vegetables,8984.0,7739.0,191.0, 147 ,54.0,0
Spain,2021,Meat & Seafood,7873.0,6702.0,22.0, 691 ,40.0,0
Germany,2024,Frozen Food,24320.0,28928.0,78.0, 162 ,34.0,1
Italy,2021,Dairy Products,18546.0,20056.0,101.0, 223 ,38.0,0
Saudi Arabia,2023,Beverages,7138.0,8417.0,56.0, 553 ,35.0,0
Brazil,2021,Fruits & Vegetables,984.0,1145.0,66.0, 251 ,59.0,0
Japan,2018,Fruits & Vegetables,6946.0,7957.0,138.0, 424 ,49.0,0
Mexico,2020,Grains & Cereals,26627.0,25354.0,193.0, 910 ,48.0,1
South Africa,2023,Frozen Food,18190.0,16385.0,92.0, 922 ,46.0,0
India,2018,Beverages,20374.0,16422.0,153.0," 1,320 ",38.0,0
Canada,2019,Grains & Cereals,16467.0,17288.0,27.0, 445 ,49.0,0
Argentina,2019,Dairy Products,21038.0,22515.0,154.0," 1,031 ",36.0,0
Indonesia,2019,Meat & Seafood,36073.0,31464.0,169.0," 1,280 ",61.0,1
Germany,2020,Bakery Items,3079.0,3527.0,195.0, 783 ,64.0,0
South Korea,2024,Prepared Food,35706.0,31406.0,163.0," 1,277 ",57.0,1
Canada,2023,Beverages,5755.0,4784.0,79.0, 313 ,64.0,0
China,2020,Beverages,13027.0,13314.0,158.0," 1,053 ",58.0,0
India,2020,Fruits & Vegetables,3279.0,2761.0,35.0, 727 ,54.0,0
Spain,2023,Frozen Food,13017.0,15553.0,92.0, 746 ,40.0,0
Spain,2019,Meat & Seafood,9304.0,8444.0,141.0, 148 ,69.0,0
UK,2024,Frozen Food,20687.0,24117.0,85.0, 894 ,47.0,0
Turkey,2019,Meat & Seafood,48460.0,51959.0,103.0, 900 ,66.0,1
South Korea,2020,Fruits & Vegetables,39265.0,44450.0,158.0, 510 ,49.0,1
South Africa,2018,Prepared Food,8152.0,7401.0,138.0," 1,378 ",34.0,0
USA,2022,Bakery Items,22653.0,25093.0,123.0," 1,250 ",65.0,0
USA,2019,Prepared Food,38068.0,31816.0,35.0, 341 ,52.0,1
UK,2022,Frozen Food,35281.0,35457.0,199.0, 859 ,60.0,1
Japan,2018,Frozen Food,1788.0,1953.0,159.0, 430 ,69.0,0
Spain,2020,Bakery Items,9646.0,9481.0,117.0, 139 ,63.0,0
Turkey,2022,Meat & Seafood,41264.0,35583.0,38.0, 417 ,41.0,1
Russia,2022,Grains & Cereals,6235.0,7063.0,21.0, 509 ,65.0,0
India,2019,Frozen Food,45355.0,41337.0,99.0, 464 ,69.0,1
Spain,2019,Prepared Food,9084.0,9204.0,171.0," 1,145 ",70.0,0
Spain,2021,Meat & Seafood,10339.0,10236.0,56.0, 885 ,44.0,0
Saudi Arabia,2018,Grains & Cereals,41688.0,39891.0,116.0, 516 ,63.0,1
Spain,2018,Beverages,48530.0,49975.0,59.0, 653 ,70.0,1
Argentina,2024,Prepared Food,22659.0,26692.0,78.0," 1,130 ",56.0,0
China,2020,Grains & Cereals,49414.0,43555.0,172.0, 664 ,48.0,1
South Korea,2023,Grains & Cereals,27421.0,22349.0,85.0, 916 ,35.0,0
Turkey,2024,Grains & Cereals,14394.0,12637.0,190.0, 407 ,31.0,0
Mexico,2022,Bakery Items,16359.0,17433.0,197.0, 525 ,49.0,0
Canada,2023,Meat & Seafood,8176.0,8433.0,34.0, 294 ,31.0,0
Argentina,2023,Beverages,41798.0,40313.0,74.0, 448 ,57.0,1
Spain,2019,Beverages,11453.0,9427.0,146.0, 176 ,62.0,0
Japan,2024,Frozen Food,28822.0,29584.0,153.0," 1,081 ",60.0,1
Indonesia,2019,Beverages,26800.0,30407.0,119.0," 1,329 ",40.0,1
South Korea,2021,Grains & Cereals,29614.0,33331.0,71.0, 685 ,38.0,1
Spain,2024,Prepared Food,12524.0,10671.0,181.0," 1,153 ",52.0,0
Russia,2024,Fruits & Vegetables,564.0,484.0,87.0, 936 ,53.0,0
Mexico,2023,Frozen Food,24218.0,20941.0,143.0," 1,259 ",37.0,0
China,2018,Frozen Food,23253.0,19751.0,160.0, 424 ,51.0,0
Saudi Arabia,2024,Grains & Cereals,45925.0,47954.0,99.0," 1,383 ",60.0,1
Brazil,2023,Meat & Seafood,15173.0,12308.0,130.0, 878 ,54.0,0
South Korea,2021,Prepared Food,46713.0,55490.0,47.0, 680 ,44.0,1
Canada,2018,Dairy Products,48133.0,51768.0,55.0, 255 ,36.0,1
Indonesia,2018,Beverages,30206.0,26359.0,93.0, 100 ,38.0,1
India,2023,Frozen Food,44285.0,38861.0,51.0, 908 ,56.0,1
Turkey,2022,Fruits & Vegetables,10766.0,10972.0,183.0, 118 ,32.0,0
Saudi Arabia,2022,Grains & Cereals,13947.0,16196.0,29.0, 385 ,53.0,0
France,2019,Bakery Items,46493.0,52602.0,57.0, 234 ,61.0,1
South Korea,2024,Beverages,16129.0,14839.0,75.0, 107 ,57.0,0
Russia,2022,Prepared Food,43573.0,41125.0,140.0, 821 ,57.0,1
India,2023,Beverages,23087.0,27031.0,78.0, 424 ,55.0,0
India,2020,Beverages,27249.0,23242.0,147.0, 159 ,33.0,0
Indonesia,2022,Meat & Seafood,27394.0,28682.0,140.0, 360 ,53.0,1
South Africa,2019,Fruits & Vegetables,43282.0,50252.0,185.0, 82 ,52.0,1
Australia,2019,Grains & Cereals,36722.0,40890.0,64.0, 956 ,40.0,1
Japan,2022,Prepared Food,3620.0,3800.0,152.0, 910 ,59.0,0
India,2021,Frozen Food,39093.0,40547.0,61.0," 1,332 ",46.0,1
Germany,2019,Meat & Seafood,7412.0,6561.0,157.0," 1,000 ",53.0,0
China,2022,Bakery Items,13435.0,15556.0,69.0," 1,266 ",34.0,0
Russia,2020,Prepared Food,16767.0,14112.0,87.0," 1,249 ",32.0,0
Australia,2018,Prepared Food,12653.0,10611.0,68.0," 1,174 ",70.0,0
Saudi Arabia,2024,Bakery Items,19817.0,22843.0,22.0," 1,125 ",61.0,0
Russia,2024,Fruits & Vegetables,48862.0,39241.0,183.0," 1,165 ",54.0,1
China,2021,Grains & Cereals,1104.0,1184.0,167.0, 468 ,57.0,0
USA,2024,Frozen Food,36455.0,36971.0,93.0," 1,282 ",42.0,1
Brazil,2021,Prepared Food,44803.0,42804.0,54.0, 802 ,36.0,1
UK,2021,Grains & Cereals,17602.0,20595.0,105.0," 1,101 ",31.0,0
Canada,2022,Grains & Cereals,37201.0,41754.0,57.0," 1,337 ",31.0,1
Mexico,2018,Prepared Food,28281.0,25850.0,65.0, 474 ,51.0,1
Germany,2024,Frozen Food,33695.0,38272.0,153.0," 1,397 ",68.0,1
Mexico,2018,Frozen Food,31139.0,35388.0,75.0, 355 ,41.0,1
UK,2023,Frozen Food,40742.0,41871.0,131.0, 270 ,33.0,1
Saudi Arabia,2023,Bakery Items,48093.0,49579.0,178.0, 903 ,52.0,1
Saudi Arabia,2019,Grains & Cereals,35116.0,34822.0,93.0, 630 ,40.0,1
South Africa,2022,Beverages,37881.0,38286.0,76.0, 693 ,52.0,1
Canada,2023,Dairy Products,3006.0,3129.0,193.0, 989 ,49.0,0
USA,2019,Dairy Products,31107.0,31908.0,28.0, 824 ,51.0,1
Mexico,2023,Fruits & Vegetables,7026.0,5854.0,154.0, 633 ,60.0,0
France,2021,Frozen Food,41055.0,46164.0,63.0, 263 ,65.0,1
Russia,2021,Prepared Food,40761.0,44618.0,113.0, 753 ,66.0,1
Japan,2020,Fruits & Vegetables,27461.0,32353.0,197.0," 1,067 ",69.0,1
India,2022,Dairy Products,39749.0,36414.0,104.0, 557 ,41.0,1
Argentina,2021,Fruits & Vegetables,29876.0,31761.0,44.0, 86 ,53.0,1
Turkey,2018,Grains & Cereals,48194.0,52444.0,64.0, 870 ,61.0,1
China,2020,Fruits & Vegetables,4877.0,4588.0,55.0, 283 ,37.0,0
South Korea,2018,Frozen Food,15864.0,13642.0,177.0, 266 ,37.0,0
Canada,2021,Dairy Products,16563.0,19826.0,197.0," 1,274 ",64.0,0
Argentina,2021,Grains & Cereals,39646.0,41361.0,48.0, 875 ,37.0,1
Spain,2024,Frozen Food,38122.0,40312.0,199.0, 604 ,68.0,1
Spain,2022,Dairy Products,22076.0,23086.0,146.0, 500 ,69.0,0
Canada,2018,Grains & Cereals,27126.0,23214.0,196.0, 722 ,52.0,1
UK,2023,Frozen Food,43341.0,50022.0,134.0, 846 ,35.0,1
China,2022,Bakery Items,17884.0,20563.0,71.0, 493 ,62.0,0
Mexico,2023,Dairy Products,17959.0,17096.0,197.0, 287 ,56.0,0
South Korea,2022,Frozen Food,44422.0,52736.0,50.0, 289 ,67.0,1
Italy,2024,Bakery Items,30883.0,27596.0,97.0, 251 ,57.0,1
Mexico,2023,Bakery Items,47662.0,40313.0,147.0, 174 ,57.0,1
Saudi Arabia,2021,Beverages,38590.0,41102.0,54.0," 1,136 ",35.0,1
South Korea,2019,Bakery Items,16134.0,17173.0,28.0," 1,334 ",46.0,0
India,2022,Prepared Food,16898.0,18118.0,170.0, 152 ,63.0,0
France,2024,Prepared Food,41761.0,39427.0,177.0, 682 ,57.0,1
UK,2018,Beverages,15295.0,12949.0,140.0, 321 ,59.0,0
UK,2022,Grains & Cereals,46159.0,41858.0,87.0, 662 ,68.0,1
Australia,2024,Bakery Items,45135.0,41772.0,173.0," 1,307 ",38.0,1
