Country,Year,Food Types, Total Waste in Tons , Food Economic Loss (Million $) , Avg Waste per Capita (Kg) , Country Population (Million) (Not Accurate) , Household Waste (%) 
Argentina,2019,Dairy Products," 31,877 "," 35,846 ", 130 , 887 , 53 
USA,2024,Prepared Food," 4,538 "," 4,999 ", 26 , 933 , 62 
Germany,2022,Dairy Products," 6,966 "," 6,131 ", 174 , 85 , 32 
Turkey,2019,Fruits & Vegetables," 27,309 "," 30,170 ", 146 ," 1,217 ", 63 
Italy,2022,Beverages," 13,803 "," 12,865 ", 185 , 957 , 66 
Indonesia,2022,Fruits & Vegetables," 2,429 "," 2,418 ", 52 , 71 , 62 
France,2021,Beverages," 2,584 "," 2,195 ", 44 ," 1,143 ", 62 
UK,2020,Fruits & Vegetables," 17,092 "," 14,509 ", 109 , 835 , 58 
Indonesia,2024,Frozen Food," 27,989 "," 32,507 ", 61 , 543 , 57 
Turkey,2018,Dairy Products," 28,969 "," 23,933 ", 164 , 855 , 47 
Argentina,2024,Bakery Items," 46,937 "," 47,408 ", 87 ," 1,057 ", 35 
China,2021,Grains & Cereals," 3,243 "," 3,746 ", 160 , 966 , 40 
USA,2022,Fruits & Vegetables," 46,965 "," 54,387 ", 173 , 948 , 44 
Spain,2024,Fruits & Vegetables," 2,283 "," 2,655 ", 117 , 345 , 49 
South Korea,2021,Meat & Seafood," 11,089 "," 11,899 ", 194 , 68 , 69 
Japan,2024,Grains & Cereals," 1,899 "," 2,059 ", 50 , 955 , 55 
Canada,2020,Meat & Seafood," 46,552 "," 47,859 ", 53 ," 1,218 ", 42 
Japan,2024,Meat & Seafood," 37,391 "," 39,783 ", 133 , 732 , 43 
Brazil,2022,Bakery Items," 7,366 "," 6,829 ", 58 ," 1,385 ", 46 
Russia,2019,Fruits & Vegetables," 23,779 "," 21,407 ", 47 , 920 , 43 
Germany,2020,Beverages," 10,337 "," 9,684 ", 113 , 207 , 68 
Brazil,2021,Grains & Cereals," 41,640 "," 43,341 ", 191 , 345 , 66 
Russia,2019,Prepared Food," 21,969 "," 22,440 ", 27 , 907 , 56 
Indonesia,2018,Bakery Items," 26,762 "," 31,233 ", 119 , 850 , 59 
Saudi Arabia,2019,Beverages," 43,125 "," 42,469 ", 137 , 305 , 32 
Turkey,2022,Fruits & Vegetables," 8,984 "," 7,739 ", 191 , 147 , 54 
Spain,2021,Meat & Seafood," 7,873 "," 6,702 ", 22 , 691 , 40 
Germany,2024,Frozen Food," 24,320 "," 28,928 ", 78 , 162 , 34 
Italy,2021,Dairy Products," 18,546 "," 20,056 ", 101 , 223 , 38 
Saudi Arabia,2023,Beverages," 7,138 "," 8,417 ", 56 , 553 , 35 
Brazil,2021,Fruits & Vegetables, 984 ," 1,145 ", 66 , 251 , 59 
Japan,2018,Fruits & Vegetables," 6,946 "," 7,957 ", 138 , 424 , 49 
Mexico,2020,Grains & Cereals," 26,627 "," 25,354 ", 193 , 910 , 48 
South Africa,2023,Frozen Food," 18,190 "," 16,385 ", 92 , 922 , 46 
India,2018,Beverages," 20,374 "," 16,422 ", 153 ," 1,320 ", 38 
Canada,2019,Grains & Cereals," 16,467 "," 17,288 ", 27 , 445 , 49 
Argentina,2019,Dairy Products," 21,038 "," 22,515 ", 154 ," 1,031 ", 36 
Indonesia,2019,Meat & Seafood," 36,073 "," 31,464 ", 169 ," 1,280 ", 61 
Germany,2020,Bakery Items," 3,079 "," 3,527 ", 195 , 783 , 64 
South Korea,2024,Prepared Food," 35,706 "," 31,406 ", 163 ," 1,277 ", 57 
Canada,2023,Beverages," 5,755 "," 4,784 ", 79 , 313 , 64 
China,2020,Beverages," 13,027 "," 13,314 ", 158 ," 1,053 ", 58 
India,2020,Fruits & Vegetables," 3,279 "," 2,761 ", 35 , 727 , 54 
Spain,2023,Frozen Food," 13,017 "," 15,553 ", 92 , 746 , 40 
Spain,2019,Meat & Seafood," 9,304 "," 8,444 ", 141 , 148 , 69 
UK,2024,Frozen Food," 20,687 "," 24,117 ", 85 , 894 , 47 
Turkey,2019,Meat & Seafood," 48,460 "," 51,959 ", 103 , 900 , 66 
South Korea,2020,Fruits & Vegetables," 39,265 "," 44,450 ", 158 , 510 , 49 
South Africa,2018,Prepared Food," 8,152 "," 7,401 ", 138 ," 1,378 ", 34 
USA,2022,Bakery Items," 22,653 "," 25,093 ", 123 ," 1,250 ", 65 
USA,2019,Prepared Food," 38,068 "," 31,816 ", 35 , 341 , 52 
UK,2022,Frozen Food," 35,281 "," 35,457 ", 199 , 859 , 60 
Japan,2018,Frozen Food," 1,788 "," 1,953 ", 159 , 430 , 69 
Spain,2020,Bakery Items," 9,646 "," 9,481 ", 117 , 139 , 63 
Turkey,2022,Meat & Seafood," 41,264 "," 35,583 ", 38 , 417 , 41 
Russia,2022,Grains & Cereals," 6,235 "," 7,063 ", 21 , 509 , 65 
India,2019,Frozen Food," 45,355 "," 41,337 ", 99 , 464 , 69 
Spain,2019,Prepared Food," 9,084 "," 9,204 ", 171 ," 1,145 ", 70 
Spain,2021,Meat & Seafood," 10,339 "," 10,236 ", 56 , 885 , 44 
Saudi Arabia,2018,Grains & Cereals," 41,688 "," 39,891 ", 116 , 516 , 63 
Spain,2018,Beverages," 48,530 "," 49,975 ", 59 , 653 , 70 
Argentina,2024,Prepared Food," 22,659 "," 26,692 ", 78 ," 1,130 ", 56 
China,2020,Grains & Cereals," 49,414 "," 43,555 ", 172 , 664 , 48 
South Korea,2023,Grains & Cereals," 27,421 "," 22,349 ", 85 , 916 , 35 
Turkey,2024,Grains & Cereals," 14,394 "," 12,637 ", 190 , 407 , 31 
Mexico,2022,Bakery Items," 16,359 "," 17,433 ", 197 , 525 , 49 
Canada,2023,Meat & Seafood," 8,176 "," 8,433 ", 34 , 294 , 31 
Argentina,2023,Beverages," 41,798 "," 40,313 ", 74 , 448 , 57 
Spain,2019,Beverages," 11,453 "," 9,427 ", 146 , 176 , 62 
Japan,2024,Frozen Food," 28,822 "," 29,584 ", 153 ," 1,081 ", 60 
Indonesia,2019,Beverages," 26,800 "," 30,407 ", 119 ," 1,329 ", 40 
South Korea,2021,Grains & Cereals," 29,614 "," 33,331 ", 71 , 685 , 38 
Spain,2024,Prepared Food," 12,524 "," 10,671 ", 181 ," 1,153 ", 52 
Russia,2024,Fruits & Vegetables, 564 , 484 , 87 , 936 , 53 
Mexico,2023,Frozen Food," 24,218 "," 20,941 ", 143 ," 1,259 ", 37 
China,2018,Frozen Food," 23,253 "," 19,751 ", 160 , 424 , 51 
Saudi Arabia,2024,Grains & Cereals," 45,925 "," 47,954 ", 99 ," 1,383 ", 60 
Brazil,2023,Meat & Seafood," 15,173 "," 12,308 ", 130 , 878 , 54 
South Korea,2021,Prepared Food," 46,713 "," 55,490 ", 47 , 680 , 44 
Canada,2018,Dairy Products," 48,133 "," 51,768 ", 55 , 255 , 36 
Indonesia,2018,Beverages," 30,206 "," 26,359 ", 93 , 100 , 38 
India,2023,Frozen Food," 44,285 "," 38,861 ", 51 , 908 , 56 
Turkey,2022,Fruits & Vegetables," 10,766 "," 10,972 ", 183 , 118 , 32 
Saudi Arabia,2022,Grains & Cereals," 13,947 "," 16,196 ", 29 , 385 , 53 
France,2019,Bakery Items," 46,493 "," 52,602 ", 57 , 234 , 61 
South Korea,2024,Beverages," 16,129 "," 14,839 ", 75 , 107 , 57 
Russia,2022,Prepared Food," 43,573 "," 41,125 ", 140 , 821 , 57 
India,2023,Beverages," 23,087 "," 27,031 ", 78 , 424 , 55 
India,2020,Beverages," 27,249 "," 23,242 ", 147 , 159 , 33 
Indonesia,2022,Meat & Seafood," 27,394 "," 28,682 ", 140 , 360 , 53 
South Africa,2019,Fruits & Vegetables," 43,282 "," 50,252 ", 185 , 82 , 52 
Australia,2019,Grains & Cereals," 36,722 "," 40,890 ", 64 , 956 , 40 
Japan,2022,Prepared Food," 3,620 "," 3,800 ", 152 , 910 , 59 
India,2021,Frozen Food," 39,093 "," 40,547 ", 61 ," 1,332 ", 46 
Germany,2019,Meat & Seafood," 7,412 "," 6,561 ", 157 ," 1,000 ", 53 
China,2022,Bakery Items," 13,435 "," 15,556 ", 69 ," 1,266 ", 34 
Russia,2020,Prepared Food," 16,767 "," 14,112 ", 87 ," 1,249 ", 32 
Australia,2018,Prepared Food," 12,653 "," 10,611 ", 68 ," 1,174 ", 70 
Saudi Arabia,2024,Bakery Items," 19,817 "," 22,843 ", 22 ," 1,125 ", 61 
Russia,2024,Fruits & Vegetables," 48,862 "," 39,241 ", 183 ," 1,165 ", 54 
China,2021,Grains & Cereals," 1,104 "," 1,184 ", 167 , 468 , 57 
USA,2024,Frozen Food," 36,455 "," 36,971 ", 93 ," 1,282 ", 42 
Brazil,2021,Prepared Food," 44,803 "," 42,804 ", 54 , 802 , 36 
UK,2021,Grains & Cereals," 17,602 "," 20,595 ", 105 ," 1,101 ", 31 
Canada,2022,Grains & Cereals," 37,201 "," 41,754 ", 57 ," 1,337 ", 31 
Mexico,2018,Prepared Food," 28,281 "," 25,850 ", 65 , 474 , 51 
Germany,2024,Frozen Food," 33,695 "," 38,272 ", 153 ," 1,397 ", 68 
Mexico,2018,Frozen Food," 31,139 "," 35,388 ", 75 , 355 , 41 
UK,2023,Frozen Food," 40,742 "," 41,871 ", 131 , 270 , 33 
Saudi Arabia,2023,Bakery Items," 48,093 "," 49,579 ", 178 , 903 , 52 
Saudi Arabia,2019,Grains & Cereals," 35,116 "," 34,822 ", 93 , 630 , 40 
South Africa,2022,Beverages," 37,881 "," 38,286 ", 76 , 693 , 52 
Canada,2023,Dairy Products," 3,006 "," 3,129 ", 193 , 989 , 49 
USA,2019,Dairy Products," 31,107 "," 31,908 ", 28 , 824 , 51 
Mexico,2023,Fruits & Vegetables," 7,026 "," 5,854 ", 154 , 633 , 60 
France,2021,Frozen Food," 41,055 "," 46,164 ", 63 , 263 , 65 
Russia,2021,Prepared Food," 40,761 "," 44,618 ", 113 , 753 , 66 
Japan,2020,Fruits & Vegetables," 27,461 "," 32,353 ", 197 ," 1,067 ", 69 
India,2022,Dairy Products," 39,749 "," 36,414 ", 104 , 557 , 41 
Argentina,2021,Fruits & Vegetables," 29,876 "," 31,761 ", 44 , 86 , 53 
Turkey,2018,Grains & Cereals," 48,194 "," 52,444 ", 64 , 870 , 61 
China,2020,Fruits & Vegetables," 4,877 "," 4,588 ", 55 , 283 , 37 
South Korea,2018,Frozen Food," 15,864 "," 13,642 ", 177 , 266 , 37 
Canada,2021,Dairy Products," 16,563 "," 19,826 ", 197 ," 1,274 ", 64 
Argentina,2021,Grains & Cereals," 39,646 "," 41,361 ", 48 , 875 , 37 
Spain,2024,Frozen Food," 38,122 "," 40,312 ", 199 , 604 , 68 
Spain,2022,Dairy Products," 22,076 "," 23,086 ", 146 , 500 , 69 
Canada,2018,Grains & Cereals," 27,126 "," 23,214 ", 196 , 722 , 52 
UK,2023,Frozen Food," 43,341 "," 50,022 ", 134 , 846 , 35 
China,2022,Bakery Items," 17,884 "," 20,563 ", 71 , 493 , 62 
Mexico,2023,Dairy Products," 17,959 "," 17,096 ", 197 , 287 , 56 
South Korea,2022,Frozen Food," 44,422 "," 52,736 ", 50 , 289 , 67 
Italy,2024,Bakery Items," 30,883 "," 27,596 ", 97 , 251 , 57 
Mexico,2023,Bakery Items," 47,662 "," 40,313 ", 147 , 174 , 57 
Saudi Arabia,2021,Beverages," 38,590 "," 41,102 ", 54 ," 1,136 ", 35 
South Korea,2019,Bakery Items," 16,134 "," 17,173 ", 28 ," 1,334 ", 46 
India,2022,Prepared Food," 16,898 "," 18,118 ", 170 , 152 , 63 
France,2024,Prepared Food," 41,761 "," 39,427 ", 177 , 682 , 57 
UK,2018,Beverages," 15,295 "," 12,949 ", 140 , 321 , 59 
UK,2022,Grains & Cereals," 46,159 "," 41,858 ", 87 , 662 , 68 
Australia,2024,Bakery Items," 45,135 "," 41,772 ", 173 ," 1,307 ", 38 
France,2024,Dairy Products," 46,191 "," 42,205 ", 88 ," 1,012 ", 58 
Indonesia,2022,Beverages," 39,180 "," 41,904 ", 21 , 854 , 56 
Russia,2024,Grains & Cereals," 26,250 "," 25,541 ", 116 , 537 , 42 
Italy,2018,Meat & Seafood," 14,971 "," 14,852 ", 41 , 471 , 52 
Italy,2023,Bakery Items," 30,734 "," 33,770 ", 121 ," 1,190 ", 62 
Indonesia,2020,Frozen Food," 12,873 "," 14,389 ", 52 , 483 , 32 
Canada,2024,Meat & Seafood," 4,882 "," 4,314 ", 180 ," 1,137 ", 43 
Mexico,2022,Frozen Food," 10,530 "," 9,173 ", 137 , 512 , 56 
India,2019,Frozen Food," 41,436 "," 47,061 ", 60 , 656 , 65 
China,2023,Beverages," 48,055 "," 55,114 ", 188 , 500 , 63 
Italy,2019,Prepared Food," 30,534 "," 35,860 ", 84 , 524 , 36 
China,2020,Frozen Food," 23,132 "," 22,897 ", 74 , 546 , 66 
China,2023,Meat & Seafood," 8,891 "," 9,996 ", 151 , 523 , 59 
South Korea,2021,Fruits & Vegetables," 24,189 "," 24,435 ", 144 , 303 , 38 
India,2018,Dairy Products," 16,990 "," 17,413 ", 86 , 645 , 70 
UK,2024,Bakery Items," 6,558 "," 5,615 ", 58 ," 1,050 ", 57 
Italy,2023,Dairy Products," 37,860 "," 41,876 ", 28 , 631 , 65 
Mexico,2022,Dairy Products," 2,836 "," 2,322 ", 65 ," 1,091 ", 40 
Germany,2021,Meat & Seafood," 40,465 "," 36,708 ", 175 ," 1,317 ", 70 
Germany,2021,Frozen Food," 45,273 "," 41,425 ", 140 ," 1,230 ", 62 
Brazil,2019,Fruits & Vegetables," 12,175 "," 12,256 ", 117 , 461 , 69 
France,2020,Prepared Food," 44,669 "," 48,459 ", 79 , 27 , 55 
Canada,2023,Grains & Cereals," 15,877 "," 17,234 ", 85 , 46 , 34 
USA,2024,Frozen Food," 6,576 "," 6,249 ", 118 , 636 , 63 
Russia,2023,Beverages," 28,517 "," 26,477 ", 110 ," 1,151 ", 43 
South Korea,2024,Beverages," 2,971 "," 3,031 ", 39 , 352 , 45 
Brazil,2020,Prepared Food," 40,148 "," 33,276 ", 152 , 857 , 61 
South Africa,2023,Beverages," 24,558 "," 28,500 ", 140 , 576 , 59 
Spain,2020,Fruits & Vegetables," 1,089 "," 1,084 ", 79 , 413 , 47 
South Africa,2024,Prepared Food," 13,227 "," 14,727 ", 180 , 17 , 42 
China,2023,Meat & Seafood," 19,338 "," 20,366 ", 190 , 425 , 32 
China,2021,Meat & Seafood," 4,036 "," 3,560 ", 88 , 279 , 69 
Russia,2023,Grains & Cereals," 1,207 "," 1,390 ", 129 ," 1,061 ", 67 
Italy,2020,Grains & Cereals," 23,225 "," 26,503 ", 52 , 494 , 46 
Italy,2024,Fruits & Vegetables," 2,475 "," 2,663 ", 91 ," 1,382 ", 58 
USA,2019,Dairy Products," 40,559 "," 44,726 ", 179 , 565 , 31 
Russia,2023,Meat & Seafood," 4,619 "," 5,138 ", 70 , 280 , 53 
India,2023,Beverages," 1,634 "," 1,961 ", 72 , 23 , 55 
France,2023,Beverages," 45,126 "," 49,358 ", 156 ," 1,162 ", 34 
Spain,2021,Meat & Seafood," 45,374 "," 46,144 ", 182 ," 1,200 ", 65 
Argentina,2020,Beverages," 48,449 "," 47,673 ", 137 , 331 , 52 
Spain,2024,Prepared Food," 1,732 "," 1,611 ", 195 , 685 , 67 
Indonesia,2024,Dairy Products," 18,683 "," 16,863 ", 70 ," 1,362 ", 67 
Germany,2021,Dairy Products," 13,764 "," 13,534 ", 160 ," 1,279 ", 60 
Turkey,2021,Fruits & Vegetables," 21,212 "," 22,934 ", 24 , 463 , 52 
Spain,2021,Meat & Seafood," 34,560 "," 30,646 ", 161 , 745 , 41 
France,2020,Dairy Products," 6,103 "," 5,286 ", 105 , 999 , 44 
France,2021,Grains & Cereals," 3,738 "," 4,131 ", 150 , 199 , 35 
UK,2024,Bakery Items," 46,857 "," 53,114 ", 114 , 519 , 37 
China,2023,Prepared Food," 4,612 "," 4,929 ", 41 , 54 , 58 
Turkey,2020,Beverages," 43,481 "," 38,449 ", 165 , 734 , 39 
Turkey,2020,Bakery Items," 42,835 "," 34,838 ", 93 , 235 , 44 
Indonesia,2023,Prepared Food," 49,817 "," 41,240 ", 135 ," 1,382 ", 68 
Turkey,2024,Prepared Food," 11,405 "," 11,205 ", 76 , 326 , 35 
Canada,2021,Grains & Cereals," 46,799 "," 37,623 ", 131 ," 1,307 ", 42 
Mexico,2021,Prepared Food," 20,642 "," 21,084 ", 76 ," 1,293 ", 61 
South Africa,2018,Dairy Products," 47,627 "," 42,337 ", 93 , 132 , 61 
South Africa,2021,Grains & Cereals," 47,689 "," 56,243 ", 168 , 428 , 48 
South Korea,2023,Prepared Food," 1,499 "," 1,441 ", 180 , 79 , 63 
Argentina,2018,Prepared Food," 1,659 "," 1,792 ", 39 , 561 , 49 
Saudi Arabia,2020,Meat & Seafood," 28,148 "," 30,663 ", 168 , 962 , 69 
France,2024,Fruits & Vegetables," 24,660 "," 23,759 ", 63 ," 1,397 ", 60 
Spain,2021,Bakery Items," 4,299 "," 3,674 ", 30 ," 1,201 ", 38 
Canada,2019,Fruits & Vegetables," 17,578 "," 17,978 ", 92 , 492 , 51 
Indonesia,2022,Fruits & Vegetables," 19,354 "," 20,752 ", 65 ," 1,050 ", 36 
South Africa,2021,Grains & Cereals," 30,790 "," 29,014 ", 152 ," 1,212 ", 49 
France,2023,Bakery Items," 13,901 "," 11,300 ", 64 , 22 , 67 
Japan,2020,Bakery Items," 11,072 "," 12,339 ", 142 , 52 , 43 
Italy,2024,Beverages," 7,032 "," 8,297 ", 196 , 604 , 57 
Italy,2024,Fruits & Vegetables," 8,066 "," 9,122 ", 33 , 292 , 65 
Indonesia,2022,Frozen Food," 43,637 "," 38,891 ", 79 , 524 , 67 
UK,2020,Frozen Food," 41,058 "," 38,421 ", 64 , 294 , 69 
India,2018,Grains & Cereals," 22,078 "," 20,546 ", 120 , 836 , 66 
Russia,2023,Fruits & Vegetables," 28,458 "," 32,053 ", 112 ," 1,023 ", 43 
Saudi Arabia,2019,Grains & Cereals," 41,001 "," 47,408 ", 61 , 792 , 36 
Japan,2024,Prepared Food," 7,236 "," 5,986 ", 113 , 42 , 37 
South Africa,2019,Bakery Items," 19,679 "," 23,415 ", 153 , 771 , 68 
Saudi Arabia,2024,Fruits & Vegetables," 35,483 "," 33,463 ", 188 , 803 , 32 
South Africa,2024,Bakery Items," 34,796 "," 36,643 ", 91 , 922 , 67 
Mexico,2021,Fruits & Vegetables," 41,413 "," 46,445 ", 192 , 25 , 34 
South Korea,2018,Bakery Items," 29,214 "," 30,962 ", 119 , 26 , 32 
Australia,2023,Fruits & Vegetables," 13,011 "," 13,474 ", 187 , 467 , 53 
Australia,2021,Grains & Cereals," 4,140 "," 3,742 ", 170 ," 1,050 ", 35 
South Korea,2024,Dairy Products," 17,681 "," 18,550 ", 141 , 403 , 47 
France,2022,Fruits & Vegetables," 46,669 "," 47,669 ", 109 , 647 , 52 
USA,2022,Frozen Food," 35,233 "," 40,283 ", 104 , 682 , 44 
China,2023,Meat & Seafood," 32,497 "," 33,167 ", 156 , 99 , 45 
China,2020,Meat & Seafood," 40,408 "," 46,888 ", 189 , 654 , 37 
Russia,2023,Meat & Seafood," 22,246 "," 24,545 ", 153 ," 1,031 ", 33 
Spain,2022,Dairy Products," 34,661 "," 41,176 ", 199 , 729 , 54 
Turkey,2023,Beverages," 4,747 "," 5,288 ", 117 , 265 , 60 
India,2021,Beverages," 34,124 "," 35,563 ", 124 , 546 , 57 
USA,2021,Dairy Products," 26,651 "," 22,800 ", 195 ," 1,370 ", 68 
Argentina,2018,Grains & Cereals," 35,830 "," 33,510 ", 126 , 442 , 53 
Italy,2020,Frozen Food," 43,605 "," 41,062 ", 119 , 221 , 58 
Spain,2019,Beverages," 28,427 "," 25,882 ", 167 , 171 , 54 
Italy,2022,Dairy Products," 23,421 "," 24,932 ", 158 , 561 , 67 
Japan,2023,Meat & Seafood," 27,100 "," 28,240 ", 156 , 21 , 41 
Saudi Arabia,2024,Bakery Items," 39,582 "," 41,931 ", 104 , 343 , 36 
Brazil,2018,Fruits & Vegetables," 26,145 "," 22,132 ", 171 , 645 , 58 
Brazil,2019,Grains & Cereals," 17,127 "," 17,098 ", 41 ," 1,331 ", 62 
USA,2023,Frozen Food," 41,113 "," 38,944 ", 126 ," 1,119 ", 49 
Australia,2023,Fruits & Vegetables," 34,772 "," 39,746 ", 108 , 531 , 53 
Germany,2020,Beverages," 30,533 "," 35,225 ", 102 ," 1,397 ", 48 
Brazil,2018,Bakery Items," 33,303 "," 34,775 ", 97 , 320 , 56 
Saudi Arabia,2023,Grains & Cereals," 44,377 "," 38,366 ", 127 ," 1,396 ", 33 
UK,2019,Bakery Items," 19,157 "," 22,447 ", 27 , 733 , 49 
Turkey,2020,Meat & Seafood," 19,421 "," 18,181 ", 165 , 553 , 67 
Japan,2024,Prepared Food," 26,997 "," 22,247 ", 141 , 195 , 64 
Brazil,2021,Frozen Food," 23,230 "," 24,064 ", 103 , 14 , 43 
China,2022,Bakery Items," 11,941 "," 10,014 ", 157 ," 1,387 ", 46 
Saudi Arabia,2021,Meat & Seafood," 36,621 "," 33,045 ", 51 , 50 , 38 
Russia,2020,Prepared Food," 39,905 "," 42,101 ", 186 , 137 , 61 
Italy,2021,Frozen Food," 18,678 "," 18,778 ", 67 ," 1,318 ", 30 
Canada,2020,Fruits & Vegetables," 27,775 "," 27,873 ", 167 ," 1,286 ", 48 
Argentina,2023,Frozen Food," 39,575 "," 33,679 ", 157 , 820 , 58 
South Korea,2024,Frozen Food," 44,477 "," 51,555 ", 136 , 635 , 48 
Turkey,2021,Beverages," 45,532 "," 53,905 ", 169 , 408 , 42 
Russia,2024,Prepared Food," 19,137 "," 15,632 ", 36 , 726 , 61 
UK,2019,Beverages," 39,366 "," 31,791 ", 163 , 911 , 35 
Argentina,2019,Fruits & Vegetables," 42,224 "," 48,288 ", 29 , 989 , 32 
France,2018,Beverages," 11,748 "," 11,927 ", 32 , 429 , 35 
Brazil,2022,Prepared Food," 32,542 "," 31,770 ", 182 , 959 , 66 
Saudi Arabia,2024,Dairy Products," 10,346 "," 8,873 ", 178 , 174 , 47 
Mexico,2024,Fruits & Vegetables," 11,663 "," 9,374 ", 27 ," 1,133 ", 47 
China,2019,Prepared Food," 36,775 "," 42,989 ", 35 , 767 , 56 
Russia,2023,Grains & Cereals," 47,755 "," 43,539 ", 84 , 725 , 58 
Spain,2019,Prepared Food," 49,597 "," 51,504 ", 54 ," 1,204 ", 39 
South Korea,2019,Prepared Food," 9,854 "," 9,752 ", 122 ," 1,333 ", 35 
South Africa,2021,Frozen Food," 32,027 "," 37,171 ", 66 ," 1,254 ", 52 
Saudi Arabia,2019,Dairy Products," 42,268 "," 47,259 ", 23 ," 1,347 ", 42 
Japan,2018,Prepared Food," 4,432 "," 4,844 ", 48 , 980 , 61 
Mexico,2024,Dairy Products," 46,335 "," 44,294 ", 68 , 879 , 67 
Australia,2023,Fruits & Vegetables," 32,008 "," 37,945 ", 97 , 293 , 41 
UK,2020,Grains & Cereals," 12,158 "," 12,654 ", 88 , 855 , 70 
South Korea,2023,Beverages," 26,692 "," 27,030 ", 35 , 831 , 56 
Brazil,2020,Dairy Products," 25,612 "," 27,251 ", 195 , 976 , 33 
Saudi Arabia,2024,Beverages," 38,673 "," 34,473 ", 191 , 804 , 44 
Japan,2022,Grains & Cereals," 38,902 "," 41,322 ", 184 , 155 , 55 
Spain,2024,Dairy Products," 21,329 "," 21,674 ", 56 , 366 , 51 
USA,2024,Bakery Items," 37,219 "," 38,058 ", 186 , 905 , 62 
Spain,2018,Dairy Products," 36,731 "," 31,317 ", 102 ," 1,100 ", 60 
South Korea,2023,Beverages," 12,318 "," 10,633 ", 186 , 993 , 42 
Brazil,2020,Bakery Items," 34,788 "," 36,711 ", 175 ," 1,260 ", 58 
Brazil,2019,Beverages," 38,638 "," 37,387 ", 29 , 797 , 45 
France,2018,Prepared Food," 23,315 "," 25,409 ", 151 ," 1,158 ", 43 
Turkey,2021,Fruits & Vegetables," 42,720 "," 43,858 ", 180 , 34 , 60 
Brazil,2023,Fruits & Vegetables," 19,517 "," 16,728 ", 119 , 299 , 31 
Australia,2019,Beverages," 36,675 "," 33,795 ", 69 , 190 , 41 
France,2018,Bakery Items," 33,456 "," 35,751 ", 112 , 768 , 59 
Brazil,2024,Grains & Cereals," 39,730 "," 32,152 ", 100 ," 1,233 ", 54 
Brazil,2023,Frozen Food," 28,257 "," 26,236 ", 77 , 295 , 54 
Japan,2018,Meat & Seafood," 10,570 "," 9,255 ", 82 ," 1,311 ", 35 
Spain,2020,Prepared Food," 7,673 "," 6,152 ", 144 , 537 , 49 
South Korea,2021,Prepared Food," 8,922 "," 8,814 ", 100 ," 1,088 ", 41 
Germany,2018,Beverages," 49,822 "," 47,176 ", 45 , 903 , 37 
Italy,2024,Fruits & Vegetables," 40,629 "," 32,673 ", 122 , 983 , 31 
Canada,2021,Fruits & Vegetables," 33,384 "," 30,304 ", 59 ," 1,246 ", 37 
Indonesia,2023,Bakery Items," 32,292 "," 28,110 ", 128 , 647 , 40 
China,2018,Grains & Cereals," 30,411 "," 25,761 ", 95 , 548 , 64 
Turkey,2022,Meat & Seafood," 45,621 "," 44,280 ", 31 , 766 , 69 
South Africa,2023,Grains & Cereals," 18,519 "," 19,892 ", 70 , 801 , 56 
UK,2020,Meat & Seafood," 9,274 "," 9,013 ", 193 ," 1,072 ", 56 
Saudi Arabia,2020,Frozen Food," 26,718 "," 26,424 ", 32 , 946 , 50 
Italy,2024,Fruits & Vegetables," 11,569 "," 13,469 ", 138 , 417 , 38 
Russia,2020,Meat & Seafood," 35,478 "," 32,831 ", 93 , 793 , 49 
Australia,2024,Beverages," 47,043 "," 46,315 ", 171 , 273 , 56 
Canada,2024,Dairy Products," 28,579 "," 30,721 ", 22 ," 1,289 ", 44 
France,2020,Dairy Products," 34,540 "," 38,088 ", 147 , 426 , 57 
Italy,2024,Dairy Products," 33,143 "," 27,391 ", 199 ," 1,230 ", 64 
Russia,2024,Meat & Seafood," 3,571 "," 4,051 ", 198 , 221 , 56 
Canada,2023,Grains & Cereals," 23,410 "," 20,913 ", 59 ," 1,351 ", 58 
Germany,2023,Dairy Products," 32,805 "," 27,653 ", 187 , 859 , 49 
Australia,2019,Dairy Products," 35,160 "," 41,400 ", 99 , 28 , 52 
Argentina,2022,Frozen Food," 8,595 "," 9,753 ", 78 , 719 , 68 
Russia,2024,Dairy Products," 22,721 "," 21,947 ", 80 , 858 , 67 
Italy,2023,Prepared Food," 45,865 "," 47,165 ", 43 , 194 , 50 
South Korea,2018,Prepared Food," 31,016 "," 28,711 ", 186 ," 1,147 ", 33 
Brazil,2024,Meat & Seafood," 16,538 "," 18,897 ", 169 , 867 , 63 
Turkey,2023,Prepared Food," 36,370 "," 42,377 ", 43 , 513 , 57 
Canada,2023,Fruits & Vegetables," 3,328 "," 3,896 ", 104 ," 1,342 ", 58 
Australia,2021,Grains & Cereals," 35,841 "," 37,335 ", 37 , 89 , 57 
UK,2018,Prepared Food," 34,933 "," 31,002 ", 24 , 235 , 70 
Argentina,2019,Prepared Food," 6,211 "," 5,625 ", 183 ," 1,389 ", 53 
South Korea,2021,Fruits & Vegetables," 16,554 "," 18,394 ", 181 ," 1,319 ", 48 
Spain,2018,Bakery Items," 17,207 "," 14,672 ", 56 , 978 , 57 
Brazil,2023,Dairy Products," 41,514 "," 37,914 ", 58 ," 1,182 ", 63 
France,2020,Meat & Seafood," 44,973 "," 37,316 ", 195 , 908 , 37 
Russia,2023,Bakery Items," 44,961 "," 40,280 ", 57 , 593 , 67 
